Customer ID,Priority Level,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time,
0,0,1.57528,1,0,0,14.7753,16.0008,13.2,
1,1,3.35468,2,0,0,7.65436,22.7969,4.29967,
2,0,7.66853,3,0,0,38.3057,54.6001,30.6372,
3,1,7.97655,4,0,0,15.4381,16.4241,7.46155,
4,1,10.9865,5,1,0,15.8204,27.3768,4.8339,
5,1,11.154,6,1,0,20.9305,44.7876,9.7765,
6,1,12.0599,7,1,0,13.0348,16.6684,0.974879,
7,1,12.8453,8,1,0,17.3439,18.5024,4.49857,
8,1,13.3941,9,1,0,19.9514,20.8695,6.55734,
9,1,14.0543,10,1,0,35.1953,54.8549,21.141,
10,1,17.0554,8,1,0,18.0729,28.9922,1.0175,
11,1,18.0134,9,1,0,23.6361,36.5407,5.62273,
12,0,18.0844,10,1,0,32.9713,36.0824,14.8868,
13,1,18.7732,10,1,0,18.9941,21.1775,0.22087,
14,1,19.5785,11,1,0,22.8888,23.7441,3.31036,
15,1,25.2229,8,2,0,25.8428,54.4259,0.619975,
16,0,26.1657,9,2,0,26.5848,34.4813,0.419136,
17,1,26.4826,10,2,0,32.1053,33.9793,5.62273,
18,1,31.061,9,3,0,31.0864,31.3791,0.0254096,
19,1,31.2349,10,3,0,37.8619,45.1321,6.62696,
20,1,32.0315,10,3,0,35.1533,37.9735,3.12184,
21,1,34.4739,10,3,0,37.7327,38.9293,3.25884,
22,1,35.2177,10,3,0,38.2452,42.4987,3.02756,
23,1,36.136,10,3,0,36.9279,37.7831,0.791905,
24,1,37.0666,10,3,0,42.8428,44.0962,5.77621,
25,1,40.1133,8,4,0,45.6623,67.6324,5.54899,
26,0,40.3412,9,4,0,48.8858,52.1693,8.54454,
27,1,42.7528,9,4,0,50.2144,58.0664,7.46155,
28,1,42.8859,10,4,0,43.7136,49.1045,0.827632,
29,0,48.3774,8,4,0,63.6504,68.0595,15.273,
30,1,50.3313,8,5,0,51.4243,51.8369,1.09296,
31,0,50.6302,9,5,0,52.9407,54.3973,2.3105,
32,1,51.0607,10,5,0,53.6749,53.933,2.61421,
33,1,53.4314,9,5,0,58.0745,63.2129,4.64313,
34,1,53.6675,10,5,0,55.4005,67.2245,1.73297,
35,1,54.0182,10,5,0,61.9013,64.3674,7.88306,
36,1,54.0361,11,5,0,63.7322,64.9433,9.69614,
37,1,55.1178,8,5,0,63.9604,84.5338,8.84258,
38,1,56.8386,9,5,0,68.2639,76.07,11.4254,
39,1,57.2669,10,5,0,59.3287,59.8829,2.06184,
40,1,64.4218,7,6,0,69.6686,74.9761,5.24681,
41,1,66.9588,7,6,0,69.9426,74.542,2.98381,
42,1,67.3497,7,6,0,68.6621,70.404,1.31244,
43,1,67.377,8,6,0,74.7333,81.5831,7.35629,
44,1,68.0808,7,6,0,69.9249,70.8688,1.84404,
45,1,68.537,8,6,0,81.3214,86.2467,12.7844,
46,1,69.5703,9,6,0,88.4592,98.1177,18.889,
47,1,71.0033,8,7,0,75.1395,79.8981,4.13623,
48,1,73.4722,9,7,0,79.0361,83.0539,5.56388,
49,1,74.4959,10,7,0,81.3429,82.8196,6.84702,
50,1,76.631,8,7,0,77.0714,80.013,0.440391,
51,1,77.7369,9,7,0,79.5973,99.2569,1.86037,
52,1,78.7442,10,7,0,93.599,95.7273,14.8548,
53,1,83.411,6,8,0,85.3154,86.5344,1.90441,
54,1,84.8517,6,8,0,85.0274,90.8282,0.175733,
