Customer ID,Priority Level,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time,
0,1,1.87145,1,0,0,2.02707,17.5462,0.155628,
1,1,10.6217,2,1,0,11.9341,23.0976,1.31237,
2,0,10.9775,3,1,0,17.4395,18.3728,6.46199,
3,0,13.3321,4,1,0,16.8479,21.805,3.51585,
4,0,15.3725,5,1,0,16.9058,19.8417,1.5333,
5,0,19.7109,4,1,0,19.9893,36.6603,0.2784,
6,1,20.0713,4,2,0,21.1509,25.2534,1.07957,
7,1,20.268,5,2,0,26.496,28.0392,6.228,
8,0,20.84,6,2,0,24.7826,28.2619,3.94263,
9,0,21.5363,7,2,0,22.7191,48.0146,1.18282,
10,1,22.5796,7,2,0,31.8295,37.5173,9.24987,
11,1,23.2212,7,2,0,23.2212,24.3282,0,
12,1,23.494,8,2,0,23.895,32.7176,0.401062,
13,1,25.3093,7,2,0,26.2842,26.7052,0.974956,
14,1,28.6206,5,2,0,30.2397,35.3605,1.61913,
15,0,29.4943,6,2,0,34.1136,41.8036,4.61934,
16,0,35.2962,6,3,0,38.626,48.1897,3.32979,
17,1,38.0702,4,3,0,39.5986,55.7097,1.5284,
18,1,39.8751,5,3,0,43.8627,59.5451,3.98764,
19,1,40.9129,6,4,0,42.6676,43.3539,1.75465,
20,1,42.9037,6,4,0,45.1868,47.0026,2.2831,
21,0,42.9952,7,4,0,47.1926,71.5257,4.19736,
22,1,43.2721,8,4,0,51.8312,59.1197,8.55908,
23,1,44.859,8,4,0,47.0433,55.0822,2.18426,
24,1,45.1551,9,4,0,47.6783,49.5275,2.52321,
25,1,49.4236,7,4,0,49.5068,49.5388,0.0832423,
26,1,51.0713,6,5,0,51.583,54.712,0.511698,
27,1,53.8415,7,5,0,57.7345,66.1121,3.89302,
28,1,53.8746,8,5,0,71.6827,74.9367,17.8081,
29,1,54.3073,9,5,0,56.9923,57.5797,2.68499,
30,1,54.9674,9,5,0,56.0254,67.176,1.05793,
31,1,56.3397,8,5,0,57.2355,58.3971,0.895812,
32,1,60.0465,5,6,0,68.8421,69.4253,8.79559,
33,1,61.266,6,6,0,90.2667,92.8656,29.0006,
34,0,61.8474,7,6,0,62.641,64.3147,0.793529,
35,1,66.2935,6,6,0,71.4343,88.0819,5.14079,
36,1,67.2062,6,6,0,73.1837,73.5727,5.97753,
37,1,73.5075,5,7,0,75.9203,91.0357,2.41279,
38,0,75.9,4,7,0,76.0529,79.508,0.152948,
39,1,76.9057,5,7,0,88.2972,94.0341,11.3915,
40,1,82.6781,5,8,0,87.3151,89.2081,4.63701,
41,1,84.3171,6,8,0,84.5544,86.6566,0.237354,
42,1,85.6509,7,8,0,97.2357,99.9444,11.5848,
43,0,87.5848,7,8,0,99.6793,103.18,12.0945,
44,1,92.1497,5,9,0,109.367,114.275,17.2173,
45,0,93.7226,5,9,0,103.131,103.793,9.40829,
46,1,101.06,4,10,0,102.486,108.66,1.4258,
47,1,104.117,3,10,0,108.067,121.15,3.95005,
48,0,106.215,4,10,0,121.349,121.655,15.1331,
49,1,108.811,4,10,0,110.412,113.959,1.60067,
50,0,111.551,5,11,0,113.144,138.861,1.59303,
51,1,112.164,6,11,0,119.598,129.987,7.43358,
52,1,114.195,6,11,0,115.732,117.054,1.53697,
53,0,115.582,6,11,0,117.352,119.778,1.76988,
54,1,117.902,6,11,0,122.191,126.722,4.28945,
55,0,118.229,7,11,0,118.237,122.353,0.00745588,
56,1,119.342,8,11,0,119.44,121.97,0.0977718,
57,0,120.25,8,12,0,124.025,139.102,3.77442,
58,0,120.44,9,12,0,146.488,155.842,26.0482,
59,1,121.368,9,12,0,124.925,126.827,3.55786,
60,1,121.409,10,12,0,123.664,141.889,2.25563,
61,0,122.423,8,12,0,124.071,126.502,1.64746,
62,1,122.858,9,12,0,135.169,138.209,12.3117,
63,1,126.826,8,12,0,135.718,135.94,8.89247,
64,1,129.244,8,12,0,139.266,139.981,10.0218,
65,1,129.537,9,12,0,130.381,133.77,0.843305,
66,1,130.682,9,13,0,131.026,135.179,0.343878,
67,1,132.636,10,13,0,140.976,143.535,8.34019,
68,1,133.77,10,13,0,135.389,153.096,1.61913,
69,1,133.996,11,13,0,138.684,138.723,4.6881,
70,1,135.282,11,13,0,138.691,142.137,3.4083,
71,1,135.595,12,13,0,142.276,143.437,6.6803,
72,1,135.74,13,13,0,139.599,154.635,3.8593,
73,0,135.869,14,13,0,160.213,168.784,24.3439,
74,1,135.928,15,13,0,138.51,139.572,2.58196,
75,1,136.966,15,13,0,143.569,144.079,6.60331,
76,1,138.957,13,13,0,143.466,148.694,4.50926,
77,1,140.161,11,14,0,144.899,155.064,4.73825,
78,1,141.085,12,14,0,141.852,144.296,0.767066,
79,1,143.311,11,14,0,150.701,151.151,7.39012,
80,0,143.671,10,14,0,152.17,157.694,8.49925,
81,1,144.683,9,14,0,153.85,154.097,9.16639,
82,0,144.99,10,14,0,145.562,151.758,0.571768,
83,1,145.323,11,14,0,162.846,175.555,17.5231,
84,1,146.707,12,14,0,147.711,147.984,1.00489,
85,1,147.814,13,14,0,155.008,157.168,7.19388,
86,0,148.422,13,14,0,155.239,156.891,6.81688,
87,1,150.414,13,15,0,157.017,161.548,6.60331,
88,1,150.844,14,15,0,166.199,167.414,15.3558,
89,1,151.17,14,15,0,156.348,165.514,5.17797,
90,1,151.353,15,15,0,164.741,172.427,13.3879,
91,1,152.043,15,15,0,156.717,157.94,4.67394,
92,0,152.323,16,15,0,159.707,168.951,7.38429,
93,1,153.035,17,15,0,157.597,158.671,4.56234,
94,1,154.146,16,15,0,159.651,160.591,5.50435,
95,1,156.495,14,15,0,166.813,173.696,10.318,
96,1,158.603,11,15,0,162.761,166.071,4.15746,
97,1,160.848,10,16,0,165.08,178.869,4.23143,
98,0,161.964,10,16,0,177.8,184.327,15.8355,
99,1,164.831,11,16,0,164.958,176.187,0.126806,
100,1,165.695,11,16,0,167.416,172.52,1.72149,
101,0,168.51,10,16,0,176.696,185.736,8.18541,
102,1,171.401,9,17,0,172.744,186.425,1.34306,
103,1,171.586,10,17,0,184.871,187.055,13.285,
104,1,172.627,9,17,0,173.164,174.734,0.536999,
105,1,173.735,9,17,0,180.213,185.873,6.47841,
106,1,174.973,9,17,0,179.856,180.67,4.88363,
107,1,175.687,9,17,0,176.604,181.282,0.916233,
108,1,175.738,10,17,0,181.391,183.113,5.65321,
109,1,179.459,9,17,0,183.931,199.614,4.47242,
110,1,181.747,8,18,0,183.975,188.494,2.22844,
111,1,184.784,7,18,0,198.069,202.285,13.285,
112,1,185.161,8,18,0,193.575,200.842,8.41393,
113,0,187.811,5,18,0,194.66,197.223,6.849,
114,1,187.996,6,18,0,203.44,207.09,15.4448,
115,1,188.378,7,18,0,189.062,193.97,0.684216,
116,1,189.095,7,18,0,192.083,202.14,2.98813,
117,0,190.029,8,19,0,195.684,197.37,5.65439,
118,1,192.777,9,19,0,201.97,210.054,9.1928,
119,0,193.335,10,19,0,196.223,206.25,2.88858,
120,1,195.053,10,19,0,195.304,197.722,0.250765,
121,1,195.55,11,19,0,223.272,236.306,27.7219,
122,1,199.097,9,19,0,207.064,210.666,7.96727,
123,1,199.707,9,19,0,205.599,213.503,5.89186,
124,1,201.498,9,20,0,211.34,216.692,9.84171,
125,1,201.953,10,20,0,210.248,210.547,8.2952,
126,1,204.259,9,20,0,243.442,245.194,39.1836,
127,1,205.383,10,20,0,206.92,214.803,1.53697,
128,1,210.648,7,21,0,218.303,218.596,7.6554,
129,0,214.024,6,21,0,214.66,227.576,0.635888,
130,1,214.315,7,21,0,215.253,215.597,0.938264,
131,1,217.944,5,21,0,218.861,230.421,0.916233,
132,1,218.762,5,21,0,239.059,242.787,20.297,
133,0,219.216,6,21,0,222.685,233.895,3.46971,
134,0,224.855,7,22,0,231.352,231.96,6.49711,
135,0,224.971,8,22,0,226.146,228.232,1.17518,
136,1,227.838,8,22,0,228.102,235.517,0.264708,
137,1,228.83,8,22,0,228.882,233.602,0.0520442,
138,0,230.364,9,23,0,237.092,242.402,6.72778,
139,1,230.951,9,23,0,232.944,236.218,1.99314,
140,1,230.958,10,23,0,235.442,244.051,4.48353,
141,1,232.292,10,23,0,244.604,247.736,12.3117,
142,1,232.827,11,23,0,234.986,238.995,2.15878,
143,1,233.739,11,23,0,239.287,239.516,5.54781,
144,1,233.895,12,23,0,237.641,240.702,3.74613,
145,1,234.067,12,23,0,236.296,238.153,2.22844,
146,1,238.077,10,23,0,242.611,275.442,4.53408,
147,1,240.328,8,24,0,240.859,250.487,0.530917,
148,1,241.662,8,24,0,245.709,247.04,4.04716,
149,1,244.616,6,24,0,244.873,268.411,0.257264,
150,1,245.858,6,24,0,247.262,247.831,1.40409,
151,1,247.219,6,24,0,255.125,259.466,7.90636,
152,0,247.746,6,24,0,258.529,261.869,10.7831,
153,1,248.926,6,24,0,256.76,257.936,7.83368,
154,0,253.645,6,25,0,257.25,262.012,3.60526,
155,1,253.905,7,25,0,256.455,258.289,2.55072,
156,0,254.774,8,25,0,266.127,267.228,11.3526,
157,1,256.61,9,25,0,257.446,259.363,0.836693,
158,1,257.822,10,25,0,274.456,284.945,16.6345,
159,1,265.494,5,26,0,267.263,269.509,1.76976,
160,0,265.624,6,26,0,283.687,284.176,18.0627,
161,1,267.944,6,26,0,271.906,273.123,3.96217,
162,1,269.062,6,26,0,270.969,290.392,1.90623,
163,0,270.582,6,27,0,277.738,289.027,7.15643,
164,1,270.689,7,27,0,271.263,272.669,0.573914,
165,1,270.813,8,27,0,271.525,272.324,0.711133,
166,0,271.919,9,27,0,279.463,295.913,7.54421,
167,0,274.91,7,27,0,287.038,287.655,12.1283,
168,0,275.463,7,27,0,286.851,287.542,11.3879,
169,1,279.724,8,27,0,287.18,296.627,7.45603,
170,0,284.184,8,28,0,290.159,292.265,5.97515,
171,0,284.263,9,28,0,297.953,303.01,13.6903,
172,1,285.496,9,28,0,287.591,292.657,2.09495,
173,1,285.98,10,28,0,286.078,286.3,0.0977718,
174,1,286.483,10,28,0,300.035,302.902,13.5516,
175,1,290.03,8,29,0,295.888,318.197,5.85804,
176,0,290.111,9,29,0,302.16,304.218,12.0486,
177,1,290.288,10,29,0,305.987,315.555,15.6989,
178,1,290.922,10,29,0,294.701,298.43,3.77938,
179,1,292.092,11,29,0,292.487,293.111,0.395383,
180,1,292.892,10,29,0,297.013,300.173,4.12078,
181,1,296.182,9,29,0,299.917,313.166,3.73446,
182,1,297.923,9,29,0,298.297,318.611,0.3746,
183,1,299.709,9,29,0,315.491,315.778,15.7823,
184,1,299.754,10,29,0,309.776,320.468,10.0218,
185,1,300.772,10,30,0,307.357,311.785,6.5847,
186,1,303.999,9,30,0,308.855,310.456,4.85525,
187,1,306.57,9,30,0,315.06,319.488,8.48936,
188,1,308.601,10,30,0,309.844,313.807,1.24329,
189,1,309.716,11,30,0,319.909,326.763,10.1934,
190,0,315.535,8,31,0,319.186,328.301,3.65189,
191,0,315.973,7,31,0,316.346,321.915,0.372993,
192,1,320.293,5,32,0,320.352,338.059,0.0588043,
193,1,321.565,5,32,0,323.014,324.405,1.44899,
194,1,323.064,5,32,0,329.157,360.891,6.09281,
195,1,324.607,5,32,0,325.843,352.281,1.23571,
196,0,327.473,5,32,0,332.29,334.171,4.81752,
197,0,329.025,5,32,0,353.781,357.377,24.7559,
198,1,330.145,6,33,0,330.164,336.487,0.0189217,
199,1,330.149,7,33,0,330.992,334.452,0.843305,
200,1,331.267,8,33,0,334.416,334.899,3.1489,
201,1,331.365,9,33,0,334.115,335.506,2.75026,
202,1,331.883,10,33,0,334.811,336.781,2.92728,
203,0,334.312,10,33,0,341.506,345.195,7.19455,
204,1,334.581,10,33,0,340.204,346.421,5.62321,
205,0,334.857,11,33,0,338.92,340.962,4.06308,
206,1,335.041,11,33,0,337.398,343.378,2.3576,
207,1,335.356,12,33,0,343.533,347.241,8.17626,
208,1,336.733,11,33,0,337.27,337.666,0.536999,
209,1,340.799,9,34,0,341.566,349.45,0.767066,
210,1,341.309,9,34,0,346.948,365.555,5.63812,
211,0,344.692,9,34,0,351.866,379.347,7.17473,
212,1,348.435,7,34,0,368.399,384.872,19.9644,
213,0,350.042,7,35,0,369.576,370.411,19.534,
214,1,353.147,7,35,0,353.865,360.223,0.718424,
215,1,353.348,8,35,0,356.917,357.541,3.5687,
216,1,355.678,9,35,0,367.901,371.724,12.2224,
217,1,356.924,10,35,0,364.291,365.943,7.36631,
218,1,357.577,9,35,0,363.404,373.41,5.82718,
219,1,358.119,10,35,0,359.021,366.475,0.901544,
220,1,358.497,11,35,0,373.547,389.035,15.0503,
221,1,358.836,12,35,0,361.213,361.851,2.37708,
222,1,359.449,13,35,0,364.226,364.857,4.77675,
223,1,362.026,11,36,0,363.788,368.001,1.7614,
224,0,367.612,8,36,0,376.786,383.513,9.17403,
225,1,368.328,8,36,0,375.466,389.485,7.13808,
226,0,368.708,9,36,0,373.699,383.634,4.99079,
227,1,369.335,10,36,0,377.943,383.664,8.60751,
228,1,371.772,9,37,0,373.653,374.109,1.88055,
229,1,372.229,10,37,0,374.828,375.821,2.59893,
230,0,373.086,11,37,0,380.63,385.621,7.54421,
231,0,374.63,10,37,0,376.745,379.832,2.11508,
232,1,377.527,10,37,0,378.701,386.975,1.17396,
233,0,382.003,9,38,0,388.624,401.766,6.6214,
234,0,383.295,10,38,0,389.421,389.508,6.12571,
235,1,383.464,11,38,0,387.464,389.927,3.99949,
236,0,387.197,6,38,0,399.862,413.975,12.6649,
237,1,393.151,3,39,0,401.538,401.776,8.38707,
238,1,398.599,4,39,0,400.269,404.183,1.66956,
239,1,402.204,3,40,0,403.881,405.533,1.67658,
240,1,403.629,4,40,0,405.495,409.503,1.86554,
241,1,404.465,4,40,0,408.115,412.181,3.65037,
242,1,405.172,5,40,0,407.549,415.217,2.37708,
243,1,407.808,5,40,0,415.463,433.801,7.6554,
244,1,408.682,6,40,0,409.918,410.36,1.23571,
245,1,412.277,4,41,0,418.826,420.668,6.54948,
246,1,413.077,5,41,0,425.118,428.576,12.0412,
247,0,413.113,6,41,0,416.594,418.751,3.48038,
248,1,414.473,6,41,0,423.268,435.824,8.79559,
249,1,415.075,7,41,0,415.991,422.643,0.916233,
250,1,416.076,7,41,0,421.968,422.305,5.89186,
251,1,416.105,8,41,0,416.649,417.406,0.544182,
252,1,416.538,9,41,0,422.161,430.385,5.62321,
253,1,418.43,9,41,0,423.503,425.767,5.07391,
254,1,419.817,9,41,0,420.155,431.793,0.337789,
255,1,420.818,9,42,0,437.527,451.15,16.7082,
256,1,421.992,10,42,0,429.32,433.944,7.32814,
257,1,422.293,11,42,0,429.127,432.005,6.83441,
258,1,423.137,10,42,0,427.646,460.533,4.50926,
259,1,423.884,11,42,0,431.397,434.902,7.51292,
260,1,424.77,12,42,0,431.128,431.549,6.35731,
261,1,426.139,12,42,0,426.556,427.863,0.416309,
262,1,427.52,13,42,0,430.344,433.378,2.82425,
263,1,428.331,13,42,0,430.873,434.614,2.54201,
264,1,429.752,13,42,0,439.054,440.011,9.30181,
265,1,430.26,14,43,0,436.809,438.659,6.54948,
266,0,433.336,11,43,0,434.656,447.409,1.31958,
267,1,434.168,9,43,0,439.702,447.884,5.5334,
268,0,434.473,10,43,0,437.2,444.165,2.72744,
